video_id,title,channel_title,published_at,view_count,like_count,comment_count
F7dJY0jkpyU,YoungBoy Never Broke Again - Where I Been / Shot Callin [Official Video],YoungBoy Never Broke Again,2025-05-03T00:42:17Z,1934714,201321,24214
KihGo9jd2As,RYAN GARCIA VS ROLANDO ROMERO | FIGHT HIGHLIGHTS,DAZN Boxing,2025-05-03T02:41:31Z,1833498,19921,5938
EeSw7o2NgN0,The Undead War is rising. See how the Witch got evolved!,Clash Royale,2025-05-03T08:00:11Z,1420654,55318,3840
u0GCwJcOHxw,Why is Everything So Boring Now?,Kurtis Conner,2025-05-02T19:13:08Z,1384569,107826,10460
T2XTfmx7pCw,DDG - what i prefer (Official Music Video),DDGVEVO,2025-05-02T04:00:06Z,866844,76227,8964
fZzB6kTXbrU,I was almost in Squid Game.,JaidenAnimations,2025-05-02T17:02:27Z,3112715,239610,10047
nt5ZHq4lh1s,Taking my Sister on a Shopping Spree!,Jake Webber,2025-05-02T21:25:30Z,694356,51254,2726
3LpzeNLtEhY,10 Days of Chaotic Travel (behind the scenes of our life),Kara and Nate,2025-05-03T15:00:04Z,214099,13614,813
huywVCJvqn4,I Tested VIRAL Beauty Products you won’t believe,HopeScope,2025-05-03T14:30:21Z,482667,16525,1359
-K8jSo03dEk,"planes if they were 10,000 times better",Ice Cream Sandwich,2025-05-03T02:01:54Z,738052,74097,3900
RNgSTwTvlNE,Watching The BEST Minecraft Video Ever (Grox),SocksReact,2025-05-02T17:15:02Z,915934,20816,2230
YXYerrQNFcE,Kelly Clarkson - Where Have You Been (Official Music Video),Kelly Clarkson,2025-05-02T23:00:37Z,475703,28034,2507
OcpVNIrpO4Y,Surviving 24 Hours In a Private Jet!,Unspeakable,2025-05-03T15:00:36Z,272171,8136,1463
toceydVI_T8,A MINECRAFT Movie in LEGO...,Mr. Bricks,2025-05-03T10:45:07Z,177023,1386,311
1DtRwUruDz8,Jarahn - Laif Blo Today ft. Pettz (Audio),Jarahn,2025-04-29T14:51:48Z,31255,1577,159
ujP_-W5d3pE,Fortnite *SEASON 3* is HERE! (Star Wars),TG Plays,2025-05-02T13:38:09Z,945154,13049,991
NE3uOVVjB98,"Taskmaster Season 19, Episode 1 -  'Sometimes spit.' | Full Episode",Taskmaster,2025-05-02T20:00:06Z,493348,19034,2010
0u7defN21Zk,State of Origin 2025 Match Highlights | QLD Maroons v NSW Blues | Game 1,NRLW - National Rugby League Women's,2025-05-01T11:44:37Z,80529,948,116
M5RiDEfnPVU,Ivan Cornejo - Me Prometí (Lyric Video),Ivan Cornejo,2025-05-02T00:00:06Z,974417,85693,5917
R5iHrNmwnWo,The First Planets - Part 1,SolarBalls,2025-05-03T15:00:06Z,246291,17717,2435
Calj9oDA88c,Rejected bull just wants to be everyone's friend,GeoBeats Animals,2025-05-02T17:45:59Z,495014,28487,1558
T88TN775Ejg,"Ant-Man, Batman, Superman...Wolves in 5 | Year Five with Anthony Edwards | Episode Four",Anthony Edwards,2025-05-02T17:00:06Z,666871,26881,1620
MFA97mQk2W4,Athletic Club vs. Man. United: Extended Highlights | UEL Semi-final Leg 1 | CBS Sports Golazo,CBS Sports Golazo - Europe,2025-05-01T21:27:36Z,707846,8054,2458
vaGf8fmtBr4,Maroon 5 - Priceless ft. LISA (Official Video),Maroon5VEVO,2025-05-02T04:00:07Z,6390649,524303,43065
B9eppKEFYMs,This is Our LAST Family VACATION!,The Ninja Fam!,2025-05-02T16:29:01Z,859832,11556,2415
